DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETSPEP,DPETBILP,DPETGIFP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC
"220811","EAST FORT WORTH MONTESSORI ACADEMY",131,14,35,10,10.7,26.7,7.6,0,0,0,0,131
"220814","TEXAS SCHOOL OF THE ARTS",337,50,42,337,14.8,12.5,100,0,0,0,0,337
"220817","NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON",2830,192,457,181,6.8,16.1,6.4,603,439,21.3,89.6,2830
"220820","ROCKETSHIP PUBLIC SCHOOLS",729,83,69,0,11.4,9.5,0,0,0,0,0,731
"220821","ACADEMY OF VISUAL AND PERFORMING ARTS",146,22,8,19,15.1,5.5,13,8,0,5.5,0,146
"220822","NEW HEIGHTS",587,0,0,0,0,0,0,520,520,88.6,88.6,588
"220901","ARLINGTON ISD",53309,6856,17410,6197,12.9,32.7,11.6,12711,11677,23.8,69.1,53339
"220902","BIRDVILLE ISD",22219,3356,5910,1635,15.1,26.6,7.4,6660,4828,30,68.7,22267
"220904","EVERMAN ISD",5016,814,1886,250,16.2,37.6,5,1670,1144,33.3,71.6,5018
"220905","FORT WORTH ISD",70184,9903,28906,9323,14.1,41.2,13.3,19638,15272,28,68.4,70405
