DISTRICT,DISTNAME,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETVHSC,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETVHSP,DPNTALLC
"089901","GONZALES ISD",2539,431,611,887,162,670,17,34.9,24.1,6.4,88.3,2541
"089903","NIXON-SMILEY CISD",1011,198,213,261,87,240,19.6,25.8,21.1,8.6,83,1011
"089905","WAELDER ISD",297,46,103,68,10,67,15.5,22.9,34.7,3.4,87,297
"090902","LEFORS ISD",188,39,6,61,12,39,20.7,32.4,3.2,6.4,78,188
"090903","MCLEAN ISD",189,40,4,76,0,60,21.2,40.2,2.1,0,100,189
"090904","PAMPA ISD",3312,660,642,857,271,856,19.9,25.9,19.4,8.2,81.1,3326
"090905","GRANDVIEW-HOPKINS ISD",49,12,0,0,0,0,24.5,0,0,0,0,50
"091901","BELLS ISD",981,153,16,310,76,289,15.6,31.6,1.6,7.7,91.2,986
"091902","COLLINSVILLE ISD",573,112,35,161,20,130,19.5,28.1,6.1,3.5,82.8,574
"091903","DENISON ISD",4935,840,495,1196,166,1065,17,24.2,10,3.4,77.6,4940
"091905","HOWE ISD",1282,246,184,356,63,311,19.2,27.8,14.4,4.9,85.2,1282
"091906","SHERMAN ISD",7814,1516,2229,1941,717,1912,19.4,24.8,28.5,9.2,82.3,7843
"091907","TIOGA ISD",688,114,50,245,52,186,16.6,35.6,7.3,7.6,78.5,688
"091908","VAN ALSTYNE ISD",2413,392,120,640,124,636,16.2,26.5,5,5.1,94.6,2419
"091909","WHITESBORO ISD",1772,364,137,596,52,463,20.5,33.6,7.7,2.9,91.5,1773
"091910","WHITEWRIGHT ISD",791,127,52,217,83,215,16.1,27.4,6.6,10.5,88.1,794
"091913","POTTSBORO ISD",1439,210,19,503,82,398,14.6,35,1.3,5.7,86.1,1441
"091914","S AND S CISD",955,167,84,262,44,262,17.5,27.4,8.8,4.6,83.4,955
"091917","GUNTER ISD",1139,143,77,310,91,310,12.6,27.2,6.8,8,85.4,1140
"091918","TOM BEAN ISD",653,104,44,218,16,169,15.9,33.4,6.7,2.5,88,654
"092801","EAST TEXAS CHARTER SCHOOLS",128,16,0,61,0,61,12.5,47.7,0,0,47.7,128
"092901","GLADEWATER ISD",1708,324,127,415,102,381,19,24.3,7.4,6,81.6,1708
"092902","KILGORE ISD",3722,364,904,1040,172,1035,9.8,27.9,24.3,4.6,88.6,3725
"092903","LONGVIEW ISD",8087,953,2034,2617,577,1964,11.8,32.4,25.2,7.1,83.5,8104
"092904","PINE TREE ISD",4424,644,681,1321,295,966,14.6,29.9,15.4,6.7,76.9,4434
"092906","SABINE ISD",1577,229,200,465,116,369,14.5,29.5,12.7,7.4,81.3,1580
"092907","SPRING HILL ISD",1982,268,115,701,130,547,13.5,35.4,5.8,6.6,89.7,1987
"092908","WHITE OAK ISD",1409,226,20,412,123,354,16,29.2,1.4,8.7,90.8,1415
"093901","ANDERSON-SHIRO CISD",965,148,41,312,62,250,15.3,32.3,4.2,6.4,90.3,966
"093903","IOLA ISD",609,114,6,220,19,160,18.7,36.1,1,3.1,90.9,610
"093904","NAVASOTA ISD",2993,565,778,1043,176,863,18.9,34.8,26,5.9,90.1,3030
"093905","RICHARDS ISD",234,41,0,17,22,17,17.5,7.3,0,9.4,26.6,235
"094901","SEGUIN ISD",7252,1307,1092,1561,593,1415,18,21.5,15.1,8.2,63.9,7314
"094902","SCHERTZ-CIBOLO-U CITY ISD",15129,2663,761,4539,1168,4109,17.6,30,5,7.7,75.9,15146
"094903","NAVARRO ISD",2417,380,150,759,205,574,15.7,31.4,6.2,8.5,82.7,2438
"094904","MARION ISD",1563,291,113,582,126,452,18.6,37.2,7.2,8.1,93,1570
"095901","ABERNATHY ISD",811,86,19,202,130,201,10.6,24.9,2.3,16,88.2,812
"095902","COTTON CENTER ISD",105,17,7,35,0,27,16.2,33.3,6.7,0,93.1,105
"095903","HALE CENTER ISD",585,57,55,190,1,149,9.7,32.5,9.4,0.2,86.1,586
"095904","PETERSBURG ISD",274,58,20,102,23,84,21.2,37.2,7.3,8.4,95.5,274
"095905","PLAINVIEW ISD",4243,567,592,1167,351,1136,13.4,27.5,14,8.3,79.2,4277
"096904","MEMPHIS ISD",388,98,61,57,40,57,25.3,14.7,15.7,10.3,41.6,400
